Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
65,CA-2018-135545,24/11/18,30/11/18,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
92,CA-2019-109806,17/09/19,22/09/19,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
161,CA-2019-162733,11/05/19,12/05/19,First Class,TT-21070,Ted Trevino,Consumer,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
559,CA-2019-113243,10/06/19,15/06/19,Standard Class,OT-18730,Olvera Toch,Consumer,Los Angeles,California,West,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,32.4,5,0,15.552
694,CA-2018-131534,28/03/18,02/04/18,Standard Class,AB-10165,Alan Barnes,Consumer,Los Angeles,California,West,OFF-PA-10000743,Office Supplies,Paper,Xerox 1977,33.4,5,0,16.032
721,CA-2019-112942,13/02/19,18/02/19,Standard Class,RD-19810,Ross DeVincentis,Home Office,Los Angeles,California,West,OFF-PA-10004092,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,146.82,3,0,73.41
761,CA-2018-112319,31/08/18,05/09/18,Standard Class,AR-10510,Andrew Roberts,Consumer,Los Angeles,California,West,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,58.32,9,0,27.9936
904,CA-2019-130477,08/04/19,12/04/19,Standard Class,LC-17140,Logan Currie,Consumer,Los Angeles,California,West,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,20.04,3,0,9.6192
906,CA-2019-130477,08/04/19,12/04/19,Standard Class,LC-17140,Logan Currie,Consumer,Los Angeles,California,West,OFF-PA-10000019,Office Supplies,Paper,Xerox 1931,12.96,2,0,6.2208
1016,CA-2018-133025,17/09/18,19/09/18,Second Class,MO-17800,Meg O'Connel,Home Office,Los Angeles,California,West,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,32.4,5,0,15.552
1192,CA-2020-117212,26/02/20,28/02/20,Second Class,BT-11530,Bradley Talbott,Home Office,Los Angeles,California,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1908,223.92,4,0,109.7208
1193,CA-2020-117212,26/02/20,28/02/20,Second Class,BT-11530,Bradley Talbott,Home Office,Los Angeles,California,West,OFF-PA-10000682,Office Supplies,Paper,Xerox 1924,23.12,4,0,11.3288
1315,CA-2019-145919,18/12/19,23/12/19,Standard Class,HG-14965,Henry Goldwyn,Corporate,Los Angeles,California,West,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",38.88,6,0,18.6624
1569,US-2020-152002,11/06/20,11/06/20,Same Day,DV-13465,Dianna Vittorini,Consumer,Los Angeles,California,West,OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",122.97,3,0,60.2553
1609,US-2019-115819,19/04/19,24/04/19,Second Class,JO-15280,Jas O'Carroll,Consumer,Los Angeles,California,West,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",22.72,4,0,10.224
1683,US-2019-101497,29/09/19,01/10/19,Second Class,PS-18760,Pamela Stobb,Consumer,Los Angeles,California,West,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,18.97,1,0,9.1056
1778,CA-2018-105347,24/11/18,28/11/18,Standard Class,DP-13000,Darren Powers,Consumer,Los Angeles,California,West,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,368.91,9,0,180.7659
1807,US-2019-116729,25/12/19,28/12/19,First Class,GK-14620,Grace Kelly,Corporate,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,45.36,7,0,21.7728
2083,CA-2020-104647,23/02/20,01/03/20,Standard Class,CK-12595,Clytie Kelty,Consumer,Los Angeles,California,West,OFF-PA-10002870,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",37.44,6,0,16.848
2248,CA-2018-116092,15/02/18,18/02/18,Second Class,JM-16195,Justin MacKendrick,Consumer,Los Angeles,California,West,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,13.36,2,0,6.4128
2252,CA-2018-116092,15/02/18,18/02/18,Second Class,JM-16195,Justin MacKendrick,Consumer,Los Angeles,California,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,0,9.3312
2332,CA-2019-155187,24/09/19,26/09/19,Second Class,LA-16780,Laura Armstrong,Corporate,Los Angeles,California,West,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",41.7,5,0,20.85
2351,CA-2020-109701,02/12/20,03/12/20,Same Day,AM-10360,Alice McCarthy,Corporate,Los Angeles,California,West,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",10.86,2,0,5.3214
2689,CA-2018-153220,12/11/18,14/11/18,First Class,YC-21895,Yoseph Carroll,Corporate,Los Angeles,California,West,OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",15.7,5,0,7.065
2837,CA-2020-110842,11/11/20,16/11/20,Standard Class,GA-14725,Guy Armstrong,Consumer,Los Angeles,California,West,OFF-PA-10000520,Office Supplies,Paper,Xerox 201,19.44,3,0,9.3312
2888,CA-2020-102099,18/12/20,19/12/20,First Class,EP-13915,Emily Phan,Consumer,Los Angeles,California,West,OFF-PA-10003172,Office Supplies,Paper,Xerox 1996,12.96,2,0,6.2208
2889,CA-2020-102099,18/12/20,19/12/20,First Class,EP-13915,Emily Phan,Consumer,Los Angeles,California,West,OFF-PA-10000289,Office Supplies,Paper,Xerox 213,32.4,5,0,15.552
3422,CA-2019-134803,28/05/19,03/06/19,Standard Class,CL-12565,Clay Ludtke,Consumer,Los Angeles,California,West,OFF-PA-10003790,Office Supplies,Paper,Xerox 1991,182.72,8,0,84.0512
3557,CA-2020-118542,01/12/20,05/12/20,Standard Class,CC-12550,Clay Cheatham,Consumer,Los Angeles,California,West,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,45.36,7,0,21.7728
3565,CA-2019-130029,03/07/19,06/07/19,First Class,GT-14755,Guy Thornton,Consumer,Los Angeles,California,West,OFF-PA-10000552,Office Supplies,Paper,Xerox 200,12.96,2,0,6.2208
3712,CA-2020-113670,15/10/20,17/10/20,First Class,RS-19765,Roland Schwarz,Corporate,Los Angeles,California,West,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,204.95,5,0,100.4255
3945,CA-2019-133144,16/05/19,21/05/19,Second Class,DO-13435,Denny Ordway,Consumer,Los Angeles,California,West,OFF-PA-10004971,Office Supplies,Paper,Xerox 196,17.34,3,0,8.4966
3985,CA-2019-135265,07/07/19,09/07/19,Second Class,CC-12370,Christopher Conant,Consumer,Los Angeles,California,West,OFF-PA-10002923,Office Supplies,Paper,Xerox 1942,48.94,1,0,24.47
4118,CA-2018-153416,24/11/18,29/11/18,Standard Class,TS-21340,Toby Swindell,Consumer,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0,9.3312
4179,CA-2019-148593,16/06/19,18/06/19,Second Class,BD-11320,Bill Donatelli,Consumer,Los Angeles,California,West,OFF-PA-10001776,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",46.35,5,0,21.7845
4339,CA-2018-125234,27/11/18,01/12/18,Standard Class,SN-20710,Steve Nguyen,Home Office,Los Angeles,California,West,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",113.82,3,0,53.4954
4450,CA-2018-121965,19/06/18,23/06/18,Standard Class,LH-17155,Logan Haushalter,Consumer,Los Angeles,California,West,OFF-PA-10004355,Office Supplies,Paper,Xerox 231,6.48,1,0,3.1104
4484,CA-2019-109365,03/11/19,08/11/19,Standard Class,XP-21865,Xylona Preis,Consumer,Los Angeles,California,West,OFF-PA-10001725,Office Supplies,Paper,Xerox 1892,116.28,3,0,56.9772
4486,CA-2019-109365,03/11/19,08/11/19,Standard Class,XP-21865,Xylona Preis,Consumer,Los Angeles,California,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,0,9.3312
4487,CA-2019-109365,03/11/19,08/11/19,Standard Class,XP-21865,Xylona Preis,Consumer,Los Angeles,California,West,OFF-PA-10004359,Office Supplies,Paper,Multicolor Computer Printout Paper,314.55,3,0,150.984
4497,CA-2020-112753,18/06/20,23/06/20,Standard Class,CC-12670,Craig Carreira,Consumer,Los Angeles,California,West,OFF-PA-10002036,Office Supplies,Paper,Xerox 1930,38.88,6,0,19.0512
4535,CA-2018-163104,19/03/18,26/03/18,Standard Class,MC-18130,Mike Caudle,Corporate,Los Angeles,California,West,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,11.96,2,0,5.8604
4721,CA-2018-142601,18/04/18,20/04/18,Second Class,DE-13255,Deanra Eno,Home Office,Los Angeles,California,West,OFF-PA-10000483,Office Supplies,Paper,Xerox 19,61.96,2,0,27.882
4806,CA-2018-137708,22/11/18,25/11/18,Second Class,NG-18430,Nathan Gelder,Consumer,Los Angeles,California,West,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,37.94,2,0,18.2112
4807,CA-2018-137708,22/11/18,25/11/18,Second Class,NG-18430,Nathan Gelder,Consumer,Los Angeles,California,West,OFF-PA-10000327,Office Supplies,Paper,Xerox 1971,42.8,10,0,19.26
4815,CA-2019-111696,08/05/19,10/05/19,First Class,TB-21625,Trudy Brown,Consumer,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,17.94,3,0,8.073
5000,CA-2019-129238,31/01/19,04/02/19,Standard Class,SC-20050,Sample Company A,Home Office,Los Angeles,California,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,56.7,5,0,27.783
5004,CA-2019-155033,07/10/19,12/10/19,Standard Class,CC-12475,Cindy Chapman,Consumer,Los Angeles,California,West,OFF-PA-10000143,Office Supplies,Paper,Astroparche Fine Business Paper,10.56,2,0,5.0688
5042,CA-2019-158694,10/11/19,13/11/19,Second Class,AI-10855,Arianne Irving,Consumer,Los Angeles,California,West,OFF-PA-10002421,Office Supplies,Paper,Embossed Ink Jet Note Cards,67.71,3,0,32.5008
5045,CA-2019-158694,10/11/19,13/11/19,Second Class,AI-10855,Arianne Irving,Consumer,Los Angeles,California,West,OFF-PA-10001363,Office Supplies,Paper,Xerox 1933,61.4,5,0,28.858
